question_id,category,question,keywords,difficulty,expected_topics
1,HR,Tell me about yourself and your educational background.,"education, degree, background, project, skills, data science, passion, experience",Easy,"Self-introduction, Education, Technical Interests"
2,HR,What are your greatest strengths and weaknesses?,"strengths, weaknesses, problem-solving, communication, learning, improvement, discipline, teamwork",Medium,"Self-awareness, Problem Solving, Continuous Learning"
3,HR,Describe a situation where you had to deal with a difficult conflict in a team.,"conflict, team, collaboration, resolution, communication, perspective, compromise, project",Medium,"Teamwork, Conflict Resolution, Empathy"
4,HR,Where do you see yourself in five years?,"goals, career, future, leadership, learning, technology, contribution, growth",Easy,"Career Aspirations, Ambition, Commitment"
5,HR,Why should we hire you for this role?,"skills, value, passion, dedication, problem solving, fit, fast learner, contribution",Medium,"Value Proposition, Alignment, Work Ethic"
6,HR,How do you prioritize tasks when you have multiple tight deadlines?,"time management, priority, organization, deadline, urgency, planning, delegation, stress",Medium,"Time Management, Prioritization, Work Under Pressure"
7,HR,Can you tell me about a time you made a mistake and how you handled it?,"mistake, accountability, learning, solution, responsibility, fix, reflection",Hard,"Accountability, Resilience, Problem Solving"
8,HR,What motivates you to perform well in your daily work?,"motivation, curiosity, solving problems, impact, learning, achievements, team success",Easy,"Intrinsic Motivation, Drive, Passion"
9,HR,Tell me about a time you had to learn a completely new technology or tool quickly.,"learning, documentation, tutorials, adaptation, practice, project, quick learner, curiosity",Medium,"Adaptability, Fast Learning, Self-reliance"
10,HR,How do you handle constructive criticism or feedback from your mentors or peers?,"feedback, criticism, growth mindset, improvement, listening, professionalism, open-minded",Easy,"Receptiveness, Professional Maturity, Growth"
11,HR,Describe a challenging project you worked on and your specific contributions.,"project, challenge, role, contribution, problem solving, teamwork, outcome, tech stack",Medium,"Project Experience, Individual Contribution, Problem Solving"
12,HR,How do you adapt when project goals or requirements change unexpectedly?,"flexibility, adaptation, agile, communication, refocus, problem solving, calm",Medium,"Flexibility, Change Management, Resilience"
13,HR,Tell me about a time you took initiative to solve a problem without being asked.,"initiative, proactive, observation, solution, improvement, responsibility, leadership",Medium,"Proactiveness, Ownership, Problem Solving"
14,HR,How do you maintain focus and manage stress during high-pressure situations?,"stress management, composure, focus, breaks, mindfulness, organization, perspective",Medium,"Stress Resilience, Composure, Emotional Intelligence"
15,HR,What are your expectations from this company and your ideal work environment?,"culture, learning, mentorship, collaboration, growth, innovation, supportive environment",Easy,"Cultural Alignment, Growth Expectations"
16,HR,Describe a situation where you had to explain a complex topic to a non-technical person.,"communication, simplification, analogies, clarity, active listening, patience, non-technical",Medium,"Communication Clarity, Empathy, Teaching"
17,HR,How do you ensure effective collaboration in a cross-functional or multidisciplinary team?,"collaboration, communication, empathy, shared goals, transparency, active listening, respect",Medium,"Cross-functional Collaboration, Team Dynamics"
18,HR,Can you discuss a time when you received ambiguous instructions and how you clarified them?,"ambiguity, clarification, asking questions, requirements, proactive communication, alignment",Medium,"Clarity Seeking, Communication, Initiative"
19,HR,What do you consider your greatest professional or academic achievement so far?,"achievement, milestone, dedication, persistence, recognition, project success, impact",Medium,"Accomplishment, Drive, Pride in Work"
20,HR,"Do you prefer working independently or as part of a team, and why?","independent, team, balance, collaboration, self-starter, accountability, synergy",Easy,"Work Style, Versatility, Self-management"
21,Technical,Explain the difference between supervised and unsupervised machine learning.,"supervised, unsupervised, labeled, unlabeled, classification, regression, clustering, target",Easy,"Machine Learning, Supervision, Labels"
22,Technical,What is overfitting in machine learning and how can you prevent it?,"overfitting, training data, generalization, regularization, cross validation, dropout, pruning, noise",Medium,"Model Generalization, Regularization, Validation"
23,Technical,What is the difference between a list and a tuple in Python?,"list, tuple, mutable, immutable, syntax, memory, brackets, parentheses, performance",Easy,"Python Basics, Data Structures, Mutability"
24,Technical,Explain the difference between the WHERE clause and HAVING clause in SQL.,"where, having, group by, filter, aggregate, rows, conditions, sql",Medium,"SQL, Aggregations, Filtering"
25,Technical,What is TF-IDF in Natural Language Processing and why is it used?,"tf-idf, term frequency, inverse document frequency, nlp, importance, rare words, stop words, vectorization",Medium,"NLP, Feature Extraction, Text Mining"
26,Technical,Explain the bias-variance tradeoff in predictive modeling.,"bias, variance, tradeoff, underfitting, overfitting, model complexity, error, generalization",Hard,"Model Evaluation, Error Decomposition, Complexity"
27,Technical,What is a Confusion Matrix and what metrics can be derived from it?,"confusion matrix, precision, recall, f1-score, accuracy, true positive, false positive, classification",Medium,"Classification Metrics, Evaluation, Diagnostics"
28,Technical,What are primary keys and foreign keys in relational databases?,"primary key, foreign key, unique, identifier, relationship, referential integrity, constraints, tables",Easy,"RDBMS, Data Modeling, Keys"
29,Technical,Explain the concept of Object-Oriented Programming (OOP) and its core pillars.,"oop, encapsulation, inheritance, polymorphism, abstraction, classes, objects, reusability",Medium,"Software Engineering, OOP Principles, Architecture"
30,Technical,How do you handle missing or null values in a dataset during data preprocessing?,"missing values, imputation, mean, median, mode, drop, dropna, fillna, data cleaning",Medium,"Data Cleaning, Imputation, Preprocessing"
31,Technical,What is the difference between Bagging and Boosting in ensemble learning?,"bagging, boosting, ensemble, random forest, adaboost, parallel, sequential, weak learners, variance, bias",Hard,"Ensemble Methods, Machine Learning, Algorithms"
32,Technical,Explain how Cosine Similarity is calculated and where it is applied.,"cosine similarity, dot product, magnitude, angle, vector, text similarity, recommendation, range -1 to 1",Medium,"Vector Space, Linear Algebra, Similarity Metrics"
33,Technical,What is feature scaling and why is normalization or standardization important in ML?,"feature scaling, normalization, standardization, min-max, z-score, gradient descent, distance metrics, outliers",Medium,"Feature Engineering, Data Preprocessing, Optimization"
34,Technical,"Explain the difference between precision and recall, and when to optimize for which.","precision, recall, false positive, false negative, trade-off, f1-score, spam detection, medical diagnosis",Medium,"Classification Metrics, Evaluation Strategy"
35,Technical,How does a Decision Tree algorithm make split decisions?,"decision tree, split, information gain, entropy, gini impurity, variance reduction, greedy algorithm",Medium,"Tree-based Models, Entropy, Gini Impurity"
36,Technical,"What is the difference between INNER JOIN, LEFT JOIN, and FULL OUTER JOIN in SQL?","inner join, left join, full outer join, matching rows, nulls, table relationship, sql queries",Easy,"SQL Joins, Relational Algebra, Data Extraction"
37,Technical,Explain the concept of Cross-Validation and why k-fold cross-validation is used.,"cross-validation, k-fold, validation, folds, data leakage, overfitting, model evaluation, generalization",Medium,"Model Validation, Resampling Techniques"
38,Technical,What is the purpose of regular expressions (regex) in text processing and data cleaning?,"regular expressions, regex, pattern matching, text cleaning, tokens, string manipulation, re module",Easy,"Text Processing, String Extraction, Data Wrangling"
39,Technical,What is the difference between deep copy and shallow copy in Python?,"shallow copy, deep copy, reference, mutable objects, copy module, nested objects, memory",Medium,"Python Memory Management, Object References"
40,Technical,Explain the difference between Correlation and Causation in data analysis.,"correlation, causation, relationship, cause and effect, spurious correlation, confounding variables, statistics",Easy,"Statistical Reasoning, Scientific Method"
